"TIME","COICOP","COICOP_LABEL","UNIT","GEO","Value","Flag and Footnotes"
"2009","CP093","Other recreational items and equipment, gardens and pets","Percentage of total","European Union - 27 countries (from 2019)","1.7",""
"2009","CP093","Other recreational items and equipment, gardens and pets","Current prices, million euro","European Union - 27 countries (from 2019)","100,119.7",""
"2009","CP093","Other recreational items and equipment, gardens and pets","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","100,936.2",""
"2009","CP094","Recreational and cultural services","Percentage of total","European Union - 27 countries (from 2019)","3.0",""
"2009","CP094","Recreational and cultural services","Current prices, million euro","European Union - 27 countries (from 2019)","176,664.8",""
"2009","CP094","Recreational and cultural services","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","180,838.6",""
"2009","CP095","Newspapers, books and stationery","Percentage of total","European Union - 27 countries (from 2019)","1.4",""
"2009","CP095","Newspapers, books and stationery","Current prices, million euro","European Union - 27 countries (from 2019)","81,496.8",""
"2009","CP095","Newspapers, books and stationery","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","83,802.2",""
"2009","CP096","Package holidays","Percentage of total","European Union - 27 countries (from 2019)","0.7",""
"2009","CP096","Package holidays","Current prices, million euro","European Union - 27 countries (from 2019)","39,730.4",""
"2009","CP096","Package holidays","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","39,941.0",""
"2009","CP10","Education","Percentage of total","European Union - 27 countries (from 2019)","0.9",""
"2009","CP10","Education","Current prices, million euro","European Union - 27 countries (from 2019)","52,373.0",""
"2009","CP10","Education","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","53,755.1",""
"2009","CP101","Pre-primary and primary education","Percentage of total","European Union - 27 countries (from 2019)",":",""
"2009","CP101","Pre-primary and primary education","Current prices, million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP101","Pre-primary and primary education","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP102","Secondary education","Percentage of total","European Union - 27 countries (from 2019)",":",""
"2009","CP102","Secondary education","Current prices, million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP102","Secondary education","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP103","Post-secondary non-tertiary education","Percentage of total","European Union - 27 countries (from 2019)",":",""
"2009","CP103","Post-secondary non-tertiary education","Current prices, million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP103","Post-secondary non-tertiary education","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP104","Tertiary education","Percentage of total","European Union - 27 countries (from 2019)",":",""
"2009","CP104","Tertiary education","Current prices, million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP104","Tertiary education","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP105","Education not definable by level","Percentage of total","European Union - 27 countries (from 2019)",":",""
"2009","CP105","Education not definable by level","Current prices, million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP105","Education not definable by level","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP11","Restaurants and hotels","Percentage of total","European Union - 27 countries (from 2019)","8.0",""
